"","x"
"1074","Multifamily Housing"
"1075","Multifamily Housing"
"1076","Multifamily Housing"
"1077","Multifamily Housing"
"1078","Multifamily Housing"
"1079","Multifamily Housing"
"1080","Multifamily Housing"
"1081","Multifamily Housing"
"1082","Multifamily Housing"
"1083","Multifamily Housing"
"1084","Multifamily Housing"
"1085","Education"
"1086","Multifamily Housing"
"1087","Multifamily Housing"
"1088","Multifamily Housing"
"1089","Multifamily Housing"
"1090","Multifamily Housing"
"1091","Multifamily Housing"
"1092","Multifamily Housing"
"1093","Multifamily Housing"
"1094","Multifamily Housing"
"1095","Multifamily Housing"
"1096","Multifamily Housing"
"1097","Multifamily Housing"
"1098","Multifamily Housing"
"1099","Multifamily Housing"
"1100","Office"
"1101","Multifamily Housing"
"1102","Multifamily Housing"
"1103","Multifamily Housing"
"1104","Multifamily Housing"
"1105","Multifamily Housing"
"1106","Office"
"1107","Other"
"1108","Multifamily Housing"
"1109","Multifamily Housing"
"1110","Multifamily Housing"
"1111","Multifamily Housing"
"1112","Multifamily Housing"
"1113","Multifamily Housing"
"1114","Multifamily Housing"
"1115","Multifamily Housing"
"1116","Multifamily Housing"
"1117","Multifamily Housing"
"1118","Multifamily Housing"
"1119","Multifamily Housing"
"1120","Multifamily Housing"
"1121","Multifamily Housing"
"1122","Education"
"1123","Multifamily Housing"
"1124","Multifamily Housing"
"1125","Multifamily Housing"
"1126","Education"
"1127","Multifamily Housing"
"1128","Multifamily Housing"
"1129","Multifamily Housing"
"1130","Multifamily Housing"
"1131","Multifamily Housing"
"1132","Multifamily Housing"
"1133","Multifamily Housing"
"1134","Multifamily Housing"
"1135","Multifamily Housing"
"1136","Multifamily Housing"
"1137","Multifamily Housing"
"1138","Multifamily Housing"
"1139","Multifamily Housing"
"1140","Multifamily Housing"
"1141","Multifamily Housing"
"1142","Multifamily Housing"
"1143","Multifamily Housing"
"1144","Multifamily Housing"
"1145","Multifamily Housing"
"1146","Multifamily Housing"
"1147","Multifamily Housing"
"1148","Multifamily Housing"
"1149","Multifamily Housing"
"1150","Multifamily Housing"
"1151","Multifamily Housing"
"1152","Multifamily Housing"
"1153","Multifamily Housing"
"1154","Multifamily Housing"
"1155","Multifamily Housing"
"1156","Multifamily Housing"
"1157","Multifamily Housing"
"1158","Multifamily Housing"
"1159","Multifamily Housing"
"1160","Multifamily Housing"
"1161","Multifamily Housing"
"1162","Multifamily Housing"
"1163","Multifamily Housing"
"1164","Multifamily Housing"
"1165","Multifamily Housing"
"1166","Multifamily Housing"
"1167","Multifamily Housing"
"1168","House of Worship"
"1169","Multifamily Housing"
"1170","Multifamily Housing"
"1171","Multifamily Housing"
"1172","Multifamily Housing"
"1173","Multifamily Housing"
"1174","Multifamily Housing"
"1175","Multifamily Housing"
"1176","Multifamily Housing"
"1177","Multifamily Housing"
"1178","Multifamily Housing"
"1179","Multifamily Housing"
"1180","Multifamily Housing"
"1181","Multifamily Housing"
"1182","Multifamily Housing"
"1183","Multifamily Housing"
"1184","Multifamily Housing"
"1185","Multifamily Housing"
"1186","Multifamily Housing"
"1187","Multifamily Housing"
"1188","Multifamily Housing"
"1189","Multifamily Housing"
"1190","Multifamily Housing"
"1191","Multifamily Housing"
"1192","Multifamily Housing"
"1193","Multifamily Housing"
"1194","Multifamily Housing"
"1195","Multifamily Housing"
"1196","Multifamily Housing"
"1197","Multifamily Housing"
"1198","Multifamily Housing"
"1199","Multifamily Housing"
"1200","Multifamily Housing"
"1201","Multifamily Housing"
"1202","Multifamily Housing"
"1203","Multifamily Housing"
"1204","Multifamily Housing"
"1205","Multifamily Housing"
"1206","Multifamily Housing"
"1207","Multifamily Housing"
"1208","Multifamily Housing"
"1209","Multifamily Housing"
"1210","Multifamily Housing"
"1211","Multifamily Housing"
"1212","Multifamily Housing"
"1213","Multifamily Housing"
"1214","Multifamily Housing"
"1215","Multifamily Housing"
"1216","Multifamily Housing"
"1217","Multifamily Housing"
"1218","Multifamily Housing"
"1219","Multifamily Housing"
"1220","Multifamily Housing"
"1221","Multifamily Housing"
"1222","Multifamily Housing"
"1223","Multifamily Housing"
"1224","Multifamily Housing"
"1225","Multifamily Housing"
"1226","Multifamily Housing"
"1227","Multifamily Housing"
"1228","Multifamily Housing"
"1229","Multifamily Housing"
"1230","Multifamily Housing"
"1231","Multifamily Housing"
"1232","Multifamily Housing"
"1233","Multifamily Housing"
"1234","Multifamily Housing"
"1235","Multifamily Housing"
"1236","Multifamily Housing"
"1237","Multifamily Housing"
"1238","Multifamily Housing"
"1239","Multifamily Housing"
"1240","Multifamily Housing"
"1241","Multifamily Housing"
"1242","Multifamily Housing"
"1243","Multifamily Housing"
"1244","Multifamily Housing"
"1245","Multifamily Housing"
"1246","Multifamily Housing"
"1247","Multifamily Housing"
"1248","Multifamily Housing"
"1249","Multifamily Housing"
"1250","Office"
"1251","Multifamily Housing"
"1252","Multifamily Housing"
"1253","Office"
"1254","Office"
"1255","Multifamily Housing"
"1256","Multifamily Housing"
"1257","Multifamily Housing"
"1258","Multifamily Housing"
"1259","Multifamily Housing"
"1260","Multifamily Housing"
"1261","Multifamily Housing"
"1262","Multifamily Housing"
